"subject","absVD","OV","trial","choice","rt","leftval","rightval","VD","fixDurLeft","fixDurRight","fixDurTotal","EL","ER","x1","x2"
1,2,16,1,1,1032,9,7,2,210,256,466,0.450643776824034,0.549356223175966,0.210300429184549,1.78969957081545
1,2,16,2,1,984,7,9,-2,418,0,418,1,0,7,-9
1,2,16,3,0,2913,7,9,-2,802,1545,2347,0.341712824882829,0.658287175117171,-3.53259480187473,1.53259480187473
1,2,16,4,0,1507,7,9,-2,476,465,941,0.505844845908608,0.494155154091392,-0.906482465462274,-1.09351753453773
1,2,16,5,0,2649,7,9,-2,967,1116,2083,0.464234277484397,0.535765722515603,-1.57225156024964,-0.42774843975036
1,2,16,6,1,860,7,9,-2,294,0,294,1,0,7,-9
1,2,16,7,0,789,7,9,-2,0,223,223,0,1,-9,7
1,2,16,8,1,1841,9,7,2,787,488,1275,0.617254901960784,0.382745098039216,2.87607843137255,-0.876078431372549
1,2,16,9,1,1554,9,7,2,626,362,988,0.633603238866397,0.366396761133603,3.13765182186235,-1.13765182186235
1,2,16,10,1,3203,7,9,-2,1602,1035,2637,0.607508532423208,0.392491467576792,0.720136518771332,-2.72013651877133
1,2,16,11,0,2728,7,9,-2,1151,1011,2162,0.532377428307123,0.467622571692877,-0.481961147086032,-1.51803885291397
1,2,16,12,1,1436,9,7,2,628,242,870,0.72183908045977,0.27816091954023,4.54942528735632,-2.54942528735632
1,2,16,13,0,984,7,9,-2,0,418,418,0,1,-9,7
1,2,16,14,1,959,7,9,-2,393,0,393,1,0,7,-9
1,2,16,15,0,964,7,9,-2,0,398,398,0,1,-9,7
1,2,16,16,1,1610,7,9,-2,658,386,1044,0.630268199233716,0.369731800766284,1.08429118773946,-3.08429118773946
1,2,16,17,1,1114,9,7,2,219,329,548,0.39963503649635,0.60036496350365,-0.605839416058395,2.60583941605839
1,2,16,18,0,1464,9,7,2,466,432,898,0.518930957683742,0.481069042316258,1.30289532293987,0.697104677060134
1,2,16,19,1,1677,9,7,2,475,636,1111,0.427542754275428,0.572457245724572,-0.159315931593159,2.15931593159316
1,2,16,20,1,679,7,9,-2,113,0,113,1,0,7,-9
1,2,16,21,1,1387,9,7,2,283,538,821,0.344701583434836,0.655298416565164,-1.48477466504263,3.48477466504263
1,2,16,22,1,831,9,7,2,265,0,265,1,0,9,-7
1,2,16,23,0,1043,7,9,-2,0,477,477,0,1,-9,7
1,2,16,24,1,967,7,9,-2,401,0,401,1,0,7,-9
1,2,16,25,0,949,7,9,-2,0,383,383,0,1,-9,7
1,2,16,26,1,911,9,7,2,345,0,345,1,0,9,-7
1,2,16,27,0,2261,7,9,-2,704,991,1695,0.415339233038348,0.584660766961652,-2.35457227138643,0.354572271386431
1,2,16,28,1,843,7,9,-2,277,0,277,1,0,7,-9
1,2,16,29,1,2692,9,7,2,1330,796,2126,0.625587958607714,0.374412041392286,3.00940733772342,-1.00940733772342
1,2,16,30,1,2854,9,7,2,1366,922,2288,0.597027972027972,0.402972027972028,2.55244755244755,-0.552447552447553
1,2,16,31,0,916,7,9,-2,0,350,350,0,1,-9,7
1,2,16,32,0,2519,7,9,-2,1146,807,1953,0.58678955453149,0.41321044546851,0.38863287250384,-2.38863287250384
1,2,16,33,1,1327,9,7,2,284,477,761,0.373193166885677,0.626806833114323,-1.02890932982917,3.02890932982917
1,2,16,34,0,1162,7,9,-2,311,285,596,0.521812080536913,0.478187919463087,-0.651006711409396,-1.3489932885906
1,2,16,35,1,1231,9,7,2,107,558,665,0.160902255639098,0.839097744360902,-4.42556390977444,6.42556390977444
1,2,16,36,0,1624,7,9,-2,565,493,1058,0.534026465028355,0.465973534971645,-0.455576559546314,-1.54442344045369
1,2,16,37,0,986,7,9,-2,100,320,420,0.238095238095238,0.761904761904762,-5.19047619047619,3.19047619047619
1,2,16,38,1,993,9,7,2,427,0,427,1,0,9,-7
1,2,16,39,1,1311,9,7,2,389,356,745,0.522147651006711,0.477852348993289,1.35436241610738,0.645637583892617
1,2,16,40,1,1114,9,7,2,548,0,548,1,0,9,-7
1,2,16,41,0,1438,9,7,2,172,700,872,0.197247706422018,0.802752293577982,-3.84403669724771,5.84403669724771
1,2,16,42,1,893,9,7,2,327,0,327,1,0,9,-7
1,2,16,43,1,1819,9,7,2,467,786,1253,0.372705506783719,0.627294493216281,-1.0367118914605,3.0367118914605
1,2,16,44,1,908,9,7,2,334,8,342,0.976608187134503,0.0233918128654971,8.62573099415205,-6.62573099415205
1,2,16,45,0,2653,7,9,-2,991,1096,2087,0.474844274077623,0.525155725922377,-1.40249161475803,-0.597508385241974
1,2,16,46,1,884,9,7,2,318,0,318,1,0,9,-7
1,2,16,47,0,1763,7,9,-2,325,872,1197,0.271512113617377,0.728487886382623,-4.65580618212197,2.65580618212197
1,2,16,48,0,1613,7,9,-2,647,400,1047,0.617956064947469,0.382043935052531,0.887297039159503,-2.8872970391595
1,2,16,49,1,1610,9,7,2,532,512,1044,0.509578544061303,0.490421455938697,1.15325670498084,0.846743295019157
1,2,16,50,0,1403,7,9,-2,516,321,837,0.616487455197133,0.383512544802867,0.863799283154122,-2.86379928315412
1,2,16,51,0,1163,9,7,2,0,597,597,0,1,-7,9
1,2,16,52,1,1163,9,7,2,278,319,597,0.465661641541039,0.534338358458961,0.450586264656617,1.54941373534338
1,2,16,53,0,844,9,7,2,0,278,278,0,1,-7,9
1,2,16,54,1,1776,9,7,2,829,381,1210,0.685123966942149,0.314876033057851,3.96198347107438,-1.96198347107438
1,2,16,55,1,1214,9,7,2,296,352,648,0.45679012345679,0.54320987654321,0.308641975308642,1.69135802469136
1,2,16,56,1,901,9,7,2,335,0,335,1,0,9,-7
1,2,16,57,0,1169,9,7,2,77,526,603,0.127694859038143,0.872305140961857,-4.95688225538972,6.95688225538972
1,2,16,58,1,1979,7,9,-2,997,416,1413,0.705590941259731,0.294409058740269,2.2894550601557,-4.2894550601557
1,2,16,59,1,2241,9,7,2,627,1048,1675,0.374328358208955,0.625671641791045,-1.01074626865672,3.01074626865672
1,2,16,60,1,3147,7,9,-2,1613,968,2581,0.624951569159241,0.375048430840759,0.999225106547849,-2.99922510654785
1,2,16,61,0,2182,9,7,2,728,888,1616,0.450495049504951,0.54950495049505,0.207920792079208,1.79207920792079
1,2,16,62,0,1331,9,7,2,373,392,765,0.487581699346405,0.512418300653595,0.801307189542483,1.19869281045752
1,2,16,63,1,2511,9,7,2,942,1003,1945,0.484318766066838,0.515681233933162,0.749100257069408,1.25089974293059
1,2,16,64,1,2218,7,9,-2,1122,530,1652,0.679176755447942,0.320823244552058,1.86682808716707,-3.86682808716707
1,2,16,65,0,788,9,7,2,0,222,222,0,1,-7,9
1,2,16,66,1,927,9,7,2,361,0,361,1,0,9,-7
1,2,16,67,0,788,7,9,-2,0,222,222,0,1,-9,7
1,2,16,68,1,1816,7,9,-2,849,401,1250,0.6792,0.3208,1.8672,-3.8672
1,2,16,69,1,3474,7,9,-2,1766,1142,2908,0.607290233837689,0.392709766162311,0.716643741403026,-2.71664374140303
1,2,16,70,1,1171,9,7,2,270,335,605,0.446280991735537,0.553719008264463,0.140495867768595,1.85950413223141
1,2,16,71,0,826,9,7,2,0,260,260,0,1,-7,9
1,2,16,72,1,942,9,7,2,376,0,376,1,0,9,-7
1,2,16,73,1,1220,9,7,2,68,586,654,0.103975535168196,0.896024464831804,-5.33639143730887,7.33639143730887
1,2,16,74,0,2347,7,9,-2,783,998,1781,0.439640651319483,0.560359348680517,-1.96574957888826,-0.0342504211117354
1,2,16,75,0,782,9,7,2,0,216,216,0,1,-7,9
1,2,16,76,0,1527,9,7,2,651,310,961,0.67741935483871,0.32258064516129,3.83870967741935,-1.83870967741935
1,2,16,77,0,859,9,7,2,0,293,293,0,1,-7,9
1,2,16,78,1,800,7,9,-2,234,0,234,1,0,7,-9
1,2,16,79,1,2628,9,7,2,667,1395,2062,0.323472356935015,0.676527643064985,-1.82444228903977,3.82444228903977
1,2,16,80,1,1042,9,7,2,476,0,476,1,0,9,-7
1,2,16,81,0,821,7,9,-2,0,255,255,0,1,-9,7
1,2,16,82,1,873,9,7,2,307,0,307,1,0,9,-7
1,2,16,83,0,1869,7,9,-2,491,812,1303,0.376822716807368,0.623177283192632,-2.97083653108212,0.970836531082119
