"subject","absVD","OV","trial","choice","rt","leftval","rightval","VD","fixDurLeft","fixDurRight","fixDurTotal","EL","ER","x1","x2"
1,2,16,54,1,1734,7,9,-2,792,551,1343,0.589724497393894,0.410275502606106,0.435591958302309,-2.43559195830231
1,2,16,55,0,612,9,7,2,0,221,221,0,1,-7,9
1,2,16,56,1,3065,9,7,2,1306,1368,2674,0.488406881077038,0.511593118922962,0.81451009723261,1.18548990276739
1,2,16,57,0,748,9,7,2,0,357,357,0,1,-7,9
1,2,16,58,1,1736,9,7,2,964,381,1345,0.716728624535316,0.283271375464684,4.46765799256506,-2.46765799256506
1,2,16,59,1,984,9,7,2,241,352,593,0.406408094435076,0.593591905564924,-0.497470489038786,2.49747048903879
1,2,16,60,1,720,9,7,2,329,0,329,1,0,9,-7
1,2,16,61,0,826,9,7,2,0,435,435,0,1,-7,9
1,2,16,62,0,1237,7,9,-2,597,249,846,0.705673758865248,0.294326241134752,2.29078014184397,-4.29078014184397
1,2,16,63,0,651,9,7,2,0,260,260,0,1,-7,9
1,2,16,64,1,942,7,9,-2,514,37,551,0.932849364791289,0.0671506352087114,5.92558983666062,-7.92558983666062
1,2,16,65,1,1158,9,7,2,431,336,767,0.561929595827901,0.438070404172099,1.99087353324641,0.00912646675358531
1,2,16,66,0,843,9,7,2,354,98,452,0.783185840707965,0.216814159292035,5.53097345132743,-3.53097345132743
1,2,16,67,1,1366,9,7,2,258,717,975,0.264615384615385,0.735384615384615,-2.76615384615385,4.76615384615385
1,2,16,68,0,1698,7,9,-2,777,530,1307,0.594491201224178,0.405508798775823,0.51185921958684,-2.51185921958684
1,2,16,69,0,890,9,7,2,0,499,499,0,1,-7,9
1,2,16,70,1,627,9,7,2,236,0,236,1,0,9,-7
1,2,16,71,0,1672,7,9,-2,503,778,1281,0.392661982825917,0.607338017174083,-2.71740827478532,0.717408274785324
1,2,16,72,1,604,7,9,-2,213,0,213,1,0,7,-9
1,2,16,73,1,1283,7,9,-2,599,293,892,0.67152466367713,0.32847533632287,1.74439461883408,-3.74439461883408
1,2,16,74,1,3081,9,7,2,1530,1160,2690,0.568773234200744,0.431226765799257,2.1003717472119,-0.100371747211896
1,2,16,75,1,1560,9,7,2,591,578,1169,0.505560307955518,0.494439692044482,1.08896492728828,0.911035072711719
1,2,16,76,0,1323,9,7,2,621,311,932,0.666309012875536,0.333690987124464,3.66094420600858,-1.66094420600858
1,2,16,77,0,904,9,7,2,0,513,513,0,1,-7,9
1,2,16,78,1,726,7,9,-2,335,0,335,1,0,7,-9
1,2,16,79,1,2415,9,7,2,868,1156,2024,0.428853754940711,0.571146245059289,-0.138339920948617,2.13833992094862
1,2,16,80,1,840,9,7,2,449,0,449,1,0,9,-7
1,2,16,81,0,1332,9,7,2,262,679,941,0.278427205100956,0.721572794899044,-2.5451647183847,4.5451647183847
1,2,16,82,0,1423,7,9,-2,627,405,1032,0.607558139534884,0.392441860465116,0.720930232558139,-2.72093023255814
1,2,16,83,0,1282,9,7,2,193,698,891,0.216610549943883,0.783389450056117,-3.53423120089787,5.53423120089787
1,2,16,84,1,528,9,7,2,137,0,137,1,0,9,-7
1,2,16,85,0,552,7,9,-2,0,161,161,0,1,-9,7
1,2,16,86,1,568,9,7,2,177,0,177,1,0,9,-7
1,2,16,87,0,830,7,9,-2,0,439,439,0,1,-9,7
1,2,16,88,1,602,9,7,2,211,0,211,1,0,9,-7
1,2,16,89,0,1185,7,9,-2,300,494,794,0.377833753148615,0.622166246851385,-2.95465994962217,0.954659949622167
1,2,16,90,1,722,7,9,-2,331,0,331,1,0,7,-9
1,2,16,91,0,1111,9,7,2,0,720,720,0,1,-7,9
